"키값","약국이름","행정시","행정구","행정동","전화번호"
"BE_LiST22-0508","Nammae Pharmacy","Seoul","Songpa-gu","Geoyeo2-dong","407-8774"
"BE_LiST22-0509","Dasarang Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","477-2590"
"BE_LiST22-0510","Saedokil Pharmacy","Seoul","Songpa-gu","Songpa2-dong","423-9455"
"BE_LiST22-0511","Ehwa Yaksan Onnuri Pharmacy","Seoul","Songpa-gu","Songpa1-dong","419-2755"
"BE_LiST22-0512","Jiaenmi Pharmacy","Seoul","Songpa-gu","Garak2-dong","402-0612"
"BE_LiST22-0513","Jiyong Pharmacy","Seoul","Songpa-gu","Bangi2-dong","415-2336"
"BE_LiST22-0514","Handok Pharmacy","Seoul","Songpa-gu","Munjeong2-dong","409-3559"
"BE_LiST22-0515","Gajangkeun Hyundae Asan Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","488-4214"
"BE_LiST22-0516","Family Pharmacy","Seoul","Songpa-gu","Munjeong2-dong","400-2112"
"BE_LiST22-0517","Grand Pharmacy","Seoul","Songpa-gu","Bangi1-dong","418-5662"
"BE_LiST22-0518","Medicine Pharmacy","Seoul","Songpa-gu","Garakbon-dong","443-7789"
"BE_LiST22-0519","Cheomsomang Pharmacy","Seoul","Songpa-gu","Oryun-dong","408-3393"
"BE_LiST22-0520","Wang Pharmacy","Seoul","Songpa-gu","Samjeon-dong","2202-5941"
"BE_LiST22-0521","Daedong Pharmacy","Seoul","Songpa-gu","Songpa1-dong","418-6551"
"BE_LiST22-0522","Sangil Pharmacy","Seoul","Songpa-gu","Jamsil6-dong","414-0185"
"BE_LiST22-0523","Optimario Pharmacy","Seoul","Songpa-gu","Jamsil4-dong","413-8205"
"BE_LiST22-0524","Citi Pharmacy","Seoul","Songpa-gu","Jamsilbon-dong","3431-4115"
"BE_LiST22-0525","Bom Pharmacy","Seoul","Songpa-gu","Pungnap1-dong","474-3118"
"BE_LiST22-0526","Uri Onnuri Pharmacy","Seoul","Songpa-gu","Jamsil3-dong","412-5632"
"BE_LiST22-0527","Pyeonhan Daeyeong Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","485-9100"
"BE_LiST22-0528","Sinasan Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","596-1136"
"BE_LiST22-0529","Balgeun Jungang Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","482-2621"
"BE_LiST22-0530","Naruyeok Sageori Hyundae Pharmacy","Seoul","Songpa-gu","Jamsil4-dong","487-1218"
"BE_LiST22-0531","Olive Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","477-0969"
"BE_LiST22-0532","Asan Medical Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","488-8575"
"BE_LiST22-0533","Teunteun Onnuri Pharmacy","Seoul","Gangdong-gu","Cheonho2-dong","486-1380"
"BE_LiST22-0534","Gildong Jungang Pharmacy","Seoul","Gangdong-gu","Gil-dong","484-7747"
"BE_LiST22-0535","Donga Pharmacy","Seoul","Gangdong-gu","Cheonho2-dong","485-4195"
"BE_LiST22-0536","Deokin Pharmacy","Seoul","Gangdong-gu","Cheonho2-dong","471-2772"
"BE_LiST22-0537","Joy Pharmacy","Seoul","Gangdong-gu","Seongnae2-dong","485-7373"
"BE_LiST22-0538","Optima Yeondang Pharmacy","Seoul","Gangdong-gu","Myeongil1-dong","3426-2323"
"BE_LiST22-0539","Best Pharmacy","Seoul","Gangdong-gu","Seongnae3-dong","474-2447"
"BE_LiST22-0540","Gangdong Medical Pharmacy","Seoul","Gangdong-gu","Cheonho2-dong","483-0108"
"BE_LiST22-0541","Gangnam Pharmacy","Seoul","Gangdong-gu","Seongnae3-dong","486-7823"
"BE_LiST22-0542","Myeongil Mart Jongno Pharmacy","Seoul","Gangdong-gu","Myeongil2-dong","428-7845"
"BE_LiST22-0543","Paran Pharmacy","Seoul","Gangdong-gu","Seongnae3-dong","484-2479"
"BE_LiST22-0544","Daehan Pharmacy","Seoul","Gangdong-gu","Cheonho2-dong","483-9165"
"BE_LiST22-0545","Boun Pharmacy","Seoul","Gangdong-gu","Dunchon2-dong","477-8088"
"BE_LiST22-0546","Hallim Pharmacy","Seoul","Gangdong-gu","Gil-dong","486-9744"
"BE_LiST22-0547","Simindang Pharmacy","Seoul","Gangdong-gu","Gil-dong","479-8100"
"BE_LiST22-0548","Withpham Cheonsa Pharmacy","Seoul","Gangdong-gu","Gil-dong","483-8200"
"BE_LiST22-0549","Dure Pharmacy","Seoul","Gangdong-gu","Godeok2-dong","429-1662"
"BE_LiST22-0550","Seungmin Pharmacy","Seoul","Gangdong-gu","Dunchon2-dong","487-1201"
